V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,Unnamed: 41
ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,workerId,survey,assignmentId,instructions,odd_one_out (1),odd_one_out (2),odd_one_out (3),odd_one_out (4),odd_one_out (5),odd_one_out (6),odd_one_out (7),odd_one_out (8),describe (1),describe (2),describe (3),describe (4),describe (5),describe (6),describe (7),describe (8),problems (1),problems (2),problems (3),problems (4),problems (5),problems (6),problems (7),problems (8),odd_one_out_catch,describe_catch,problems_catch,
Default Response Set,Anonymous,,,75.86.242.115,0,2016-02-24 14:50:13,2016-02-24 14:57:22,1,AWH0QCGB8IPX9,,,1,3,5,3,1,2,1,1,3,non coin,tapping bottle,non glass,train whistle,door bell,Straw,Water running,dog barking,,,,,,,,,6,piano,,
Default Response Set,Anonymous,,,68.80.90.64,0,2016-02-24 14:51:44,2016-02-24 14:57:33,1,ANBP9PU6EH8DB,,,1,3,3,4,1,4,5,2,2,dropping coins,opening a bottle with a cork,Glass bottles,car horn,ringing phone,Tape,Pouring,Zipper,,,,,,,,,6,Piano,,
Default Response Set,Anonymous,,,108.183.59.140,0,2016-02-24 14:52:02,2016-02-24 14:58:19,1,A1FGKIKJYSL1MI,,,1,6,1,6,4,4,5,5,2,"dropping small object, probably coin",champagne cork popping,small object dropping,"5 car honks, and a trumpet (odd)",phone ringing,tape being torn off,hand swishing through water,zipper,,,,,,,,,6,piano,,
Default Response Set,Anonymous,,,96.59.184.6,0,2016-02-24 14:53:16,2016-02-24 14:58:43,1,A11R8G0FYA2UVQ,,,1,2,2,4,1,2,1,1,6,coin dropping,bottle popping,glass jar,horn,phone,paper ,water,zippers,,1,,,,,,,6,piano,,
Default Response Set,Anonymous,,,74.211.93.140,0,2016-02-24 14:55:51,2016-02-24 15:00:05,1,A1EMBQB8FM6EZH,,,1,2,5,3,4,4,5,2,6,Coin dropping,I heard a variety of popping sounds,Glasses banging,Car horn,Phone ringing,Removal of tape,Water sound effects,Zipper,,,,,,,,,6,Banging metal,,
Default Response Set,Anonymous,,,98.214.43.100,0,2016-02-24 14:55:39,2016-02-24 15:00:19,1,A2M3LVBUZLN8MO,,,1,2,2,4,1,4,5,1,6,coin dropping,bottle popping,lid dropping?,horn honking,phone ringing,paper ripping,splashing water,zipping a zipper,,,,,,,,,6,hitting something,,
Default Response Set,Anonymous,,,67.78.96.95,0,2016-02-24 14:58:32,2016-02-24 15:01:37,1,A3GMH4D3UB5EB1,,,1,3,5,4,4,4,5,1,6,coins,pop,clanking,honk,ringing,tear,water,zip,,,,,,,,,6,cymbals,,
Default Response Set,Anonymous,,,24.107.69.224,0,2016-02-24 14:56:38,2016-02-24 15:02:24,1,A3E3RCR51Z8EVP,,,1,3,4,3,1,5,5,1,4,coins dropping,bottle opener,coincs clanking,car horns,phone ringing,paper ripping,spashing water,zipping,,,,,,,,,6,piano,,
Default Response Set,Anonymous,,,68.117.158.74,0,2016-02-24 14:56:27,2016-02-24 15:04:28,1,A2H760ESD9NMOT,,,1,2,5,3,1,4,5,2,2,All the others sounded like a coin dropping but that one didn't.,"The one that did not fit did not sound as sharp as the others, they all sounded like a cork being popped.",All the others sounded like glass but that one didn't.,All the others sounded like real car horns but the one I picked sounded like a toy.,The one I picked was much slower than the other rings.,All the others sounded like aper ripping but that one didn't.,The others sounded like natural water flow but the odd sound sounded like someething hitting the surface of water.,All the others sounded like zippers but that one didn't.,,,,,,,,,6,Piano,,
Default Response Set,Anonymous,,,98.192.138.85,0,2016-02-24 15:00:25,2016-02-24 15:04:52,1,A1RM39ESL1IEJL,,,1,2,2,4,4,4,5,5,2,coins dropping,corks popping,glass jars,car horns,phones ringing,tape,water splashing,zippers,,,,,,,,,6,metal,,
Default Response Set,Anonymous,,,199.115.143.171,0,2016-02-24 14:54:37,2016-02-24 15:05:12,1,A16WTL2DOIQ5SV,,,1,2,1,3,4,1,1,6,3,dropping coin,opening bottle,object colliding,car horn,phone ring,ripping,water,zipping,,,,,,,,,6,gong,,
Default Response Set,Anonymous,,,76.2.75.201,0,2016-02-24 15:02:38,2016-02-24 15:08:12,1,A381WH9M9O2WQY,,,1,2,5,6,1,4,1,1,6,a coin dropping,champagne cork,tapping a bottle,car honking,phone ringing,tearing paper,water splashing,a zipper,,,,,,,,,6,piano,,
Default Response Set,Anonymous,,,70.167.157.162,0,2016-02-24 15:06:11,2016-02-24 15:12:46,1,AFIFVNL3CREJN,,,1,4,4,4,2,4,6,4,4,coins being dropped ,bottle being opened ,bottle being hit ,car horn ,telephone ring ,ripped paper ,water ,zipper ,,,,,,,,,6,piano ,,
Default Response Set,Anonymous,,,23.117.204.107,0,2016-02-24 15:09:06,2016-02-24 15:14:24,1,A115XKTCED2VE9,,,1,6,5,2,1,3,5,1,6,coins dropping,hitting ball,clinking,honking horn,digital ringing,ripping paper,sloshing water,zipper,,,,,,,,,6,plucking string,,
Default Response Set,Anonymous,,,198.1.37.185,0,2016-02-24 15:07:52,2016-02-24 15:14:35,1,A1OZPLHNIU1519,,,1,2,2,3,1,4,1,5,4,coins dropping,corks popping,clinking,horns honking,ring tones,ripping tape,water sounds,zippers,,,,,,,,,6,piano,,
Default Response Set,Anonymous,,,199.90.35.12,0,2016-02-24 15:13:32,2016-02-24 15:18:07,1,A3HMBHM8HJLKRD,,,1,3,5,4,4,4,6,2,6,money dropping,pop,clanging of glasses,car horn,ringing,tearing,pouring water,zipper,,,,,,,,,6,piano,,
Default Response Set,Anonymous,,,173.225.150.109,0,2016-02-24 15:11:59,2016-02-24 15:18:33,1,A3NVSZTO346FN,,,1,2,2,6,1,4,6,6,6,Coin Dropping,Bottle Popping,Glass Chattering,Car horns,Ringtones,Tearing,Water ,Zipper,,,,,,,,,6,Piano,,
Default Response Set,Anonymous,,,132.236.82.159,0,2016-02-24 15:13:15,2016-02-24 15:18:45,1,A33HHJ06ONLI5G,,,1,2,4,4,3,4,5,2,2,Coin falling,Cork popping,Bottles clinking,Car horns,Phones ringing,Ripping paper,Water,Zippers,,,,,,,,,,piano,,
Default Response Set,Anonymous,,,162.210.151.60,0,2016-02-24 15:15:31,2016-02-24 15:19:48,1,A2LUB97I11YF7K,,,1,2,2,4,1,4,6,1,6,coins dropping,Popping,glass plinking,horns honking,Phones ringing,ripping paper,water,zippers,,,,,,,,,6,piano,,
Default Response Set,Anonymous,,,75.133.244.166,0,2016-02-24 15:13:45,2016-02-24 15:22:31,1,A7WS7RVCR4J65,,,1,3,2,6,4,4,6,1,6,.,Cork Popping off Bottle,Bottles clicking together,Car Horns,Phone ringing,Paper Tearing,Walking in water,Zipper zipping,,,,,,,,,6,Piano,,
Default Response Set,Anonymous,,,166.170.220.255,0,2016-02-24 15:13:39,2016-02-24 15:22:33,1,A2O9DCJ35SXHXI,,,1,1,2,4,4,4,6,2,4,coins dropping,cork popping,glasses clinking,car horns,phones ringing,paper tearing,water splashing,zippers,,,,,,,,,6,piano,,
Default Response Set,Anonymous,,,108.1.196.159,0,2016-02-24 15:18:15,2016-02-24 15:24:16,1,A1BHINLXH3E2GJ,,,1,2,5,5,1,4,5,4,6,coin dropping,opening a bottle,clinking a jar,honking horns,phone ringing,paper tearing,splashing water,zippers,,,,,,,,,,piano,,
Default Response Set,Anonymous,,,142.196.151.107,0,2016-02-24 15:36:00,2016-02-24 15:39:50,1,A2K4GUKK6XU92A,,,1,2,1,4,4,4,6,2,4,coin dropping,popping,coin dropping into a jar,Car horns,phone ringing,paper tearing,water ,zipper,,,,,,,,,6,piano,,
Default Response Set,Anonymous,,,173.21.62.176,0,2016-02-24 16:50:21,2016-02-24 16:53:44,1,A248P03SBIGVNH,,,1,3,1,4,4,3,5,2,6,change,pop,clink,horn,ring,rip,pour,zip,,,,,,,,,6,cling,,
Default Response Set,Anonymous,,,174.24.155.92,0,2016-02-24 16:50:38,2016-02-24 16:55:50,1,ALPMPJST62XIJ,,,1,3,2,5,1,4,5,5,2,Coins,Corks popping,Glass sounds,Horns,Phone rings,tape,Water,zippers,,,,,,,,,6,piano,,
Default Response Set,Anonymous,,,173.209.69.250,0,2016-02-24 16:50:51,2016-02-24 16:55:52,1,A19KF02ULCISTQ,,,1,3,5,3,2,4,6,5,6,things dropped,cork pops,hitting glass,horns,ringtones,paper rips,water,zippers,,,,,,,,,,piano,,
Default Response Set,Anonymous,,,71.187.194.216,0,2016-02-24 16:51:53,2016-02-24 16:58:20,1,A62LZWGKLMBT2,,,1,2,5,1,2,4,6,1,6,coin falling,bottlecap opening,metal banging,vehicle horn,phone ringing,Camera Click,water moving,Zipping,,,,,,,,,6,striking metal,,
Default Response Set,Anonymous,,,97.81.151.242,0,2016-02-24 16:50:00,2016-02-24 17:00:00,1,AL83KKXUORS9Y,,,1,4,2,3,4,4,5,2,6,Coins dropping,Cork popping,Bottles clanging,Automobile horns,Telephones ringing,Chalkboard scraping,Bathtub splashing,Hydraulic wrench,,,,,1,,,,6,piano,,
Default Response Set,Anonymous,,,73.230.44.177,0,2016-02-24 16:52:23,2016-02-24 17:00:29,1,A3RIBFIB7C8D20,,,1,2,5,3,1,4,5,1,2,coin toss,cork top,glass clinking,horn,phone ringing,paper tearing,splashing water,zipper,,,,,,,,,6,piano,,
Default Response Set,Anonymous,,,107.10.142.67,0,2016-02-24 16:50:13,2016-02-24 17:00:49,1,AVOF14300525D,,,1,2,5,4,3,4,1,2,3,coin dropping ,popping,clinking ,beeping horn ,telephone ringing ,paper ripping ,water pouring out,zipper,,,,,,,,,,piano,,
Default Response Set,Anonymous,,,96.253.42.99,0,2016-02-24 16:49:59,2016-02-24 17:02:08,1,APUPF3D94XYUQ,,,1,2,5,4,1,4,5,5,6,falling coin,popping sound,clinking glasses,honking horns,ringtones,ripping paper?,water,zipper,,,,,,,,,6,banging?,,
Default Response Set,Anonymous,,,180.191.147.177,0,2016-02-24 16:53:38,2016-02-24 17:03:47,1,A2ZDK0Y5466BXN,,,1,2,1,2,4,4,5,1,2,coin drop,bottle popping,bottle sound,car horn,phone ringing,Paper,water splash,zipper,,,,,,,,,,piano,,
Default Response Set,Anonymous,,,100.40.132.214,0,2016-02-24 17:09:00,2016-02-24 17:13:59,1,A1GIA6WCGRJRY7,,,1,4,4,3,1,3,5,2,6,Coins dropping,Pops,Glass chimes,Car horns,Phones,Paper tears,Splashing,Zippers,,,,,,,,,6,Piano,,
Default Response Set,Anonymous,,,208.70.93.74,0,2016-02-24 14:28:23,2016-02-24 14:29:43,0,A1WDUICI1FG9F,,,1,,,,,,,,4,,,,,,,,Jackets zipping up,,,,,,,,1,,,,
Default Response Set,Anonymous,,,108.244.92.66,0,2016-02-24 14:29:20,2016-02-24 14:31:54,0,A29CKVKSYJXIQ0,,,1,3,,,,,4,4,,something dropping,,,,,rustling,water splashing,,,,,,,,1,,,,,
Default Response Set,Anonymous,,,75.70.220.104,0,2016-02-24 14:29:08,2016-02-24 14:34:27,0,A1R3W25JDAUQ09,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Response Set,Anonymous,,,66.194.102.38,0,2016-02-24 14:49:59,2016-02-24 14:54:32,0,A3SHP9IPZ2FLOX,,,1,2,5,6,4,4,,1,6,coins,Sounds like popping,Sounds like a glass bottle,Sounds like a horn,Sounds like ringing,,Sounds like water,Sounds like a zipper,,,,,,,,1,,,,
Default Response Set,Anonymous,,,173.169.124.65,0,2016-02-24 14:51:30,2016-02-24 14:54:32,0,A11G1TGXX3YS24,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Response Set,Anonymous,,,216.47.51.86,0,2016-02-24 14:53:38,2016-02-24 14:58:44,0,A1U6A617Q95MTZ,,,1,2,5,4,4,2,,2,2,coin going in a slot,tap,bell,boat horn,timer,,dog lapping up water,slurp,,,,,,,,,,,,
Default Response Set,Anonymous,,,76.189.9.123,0,2016-02-24 14:50:58,2016-02-24 15:03:28,0,A2EOOF9D135HQ1,,,1,,5,1,1,,6,2,6,,cork popping,a glassc ontainer falling,horn honking,,tearing paper,water splashing,zipping a zipper,,,,,,,,,,,,
Default Response Set,Anonymous,,,72.175.125.199,0,2016-02-24 14:55:27,2016-02-24 15:03:53,0,AD368A1RHHRC3,,,1,3,,6,1,4,5,,,coin drop,,clink,car horn,phone ringing,slurp,,,,,,,,,,,,,,
Default Response Set,Anonymous,,,96.251.123.74,0,2016-02-24 15:04:49,2016-02-24 15:07:26,0,A2DPKKEEW2I6QK,,,1,2,5,4,2,2,4,1,5,cpoins,pop,glasses,honk,telephone rings,tearing,water,zipper,,,,,,,,,,,,
Default Response Set,Anonymous,,,76.164.250.81,0,2016-02-24 15:02:51,2016-02-24 15:09:22,0,A2LL81ERU0Y7E6,,,1,2,4,6,4,4,1,1,1,Coins falling,popping sounds,Tapping on glass,Car horns,Phones ringing,tearing sound,Water,Zippers,,,,,,,,,,,,
Default Response Set,Anonymous,,,173.217.107.69,0,2016-02-24 15:24:54,2016-02-24 15:29:19,0,A3FPXLLF0B8CIC,,,1,6,5,,6,2,2,4,4,tapping,a plunger,,horn,phone ringing,water running,water splashing,zipper,,,,,,,,,,,,
Default Response Set,Anonymous,,,104.32.160.173,0,2016-02-24 16:59:38,2016-02-24 17:01:37,0,A2FLHXD97VI8F4,,,1,2,,,4,,,,,sounds like a cup fell or something,,,sounds like a clown nose,,,,,,,,,,,,,,,,
Default Response Set,Anonymous,,,73.34.117.196,0,2016-02-24 17:04:17,2016-02-24 17:07:15,0,AMQK5FIDUG4QO,,,1,3,3,,1,4,,5,,coin dropping,popping,,honking,phone ringing,,running water,,,,,,,,,,,,,
